2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.375,y0.25.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.375,y0.5.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.375,y0.625.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.375,y0.75.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.375,y0.875.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.125.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.25.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.5.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.375.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.625.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.875.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.75.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.625,y0.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.625,y0.125.jpg falling back to full res may show visual issues
